"Data";"Desvio Padrão 2020 Q2";"Desvio Padrão 2020 Q3";"Desvio Padrão 2020 Q4";"Desvio Padrão 2021 Q1";"Desvio Padrão 2021 Q2";"Desvio Padrão 2021 Q3";"Desvio Padrão 2021 Q4";"Media 2020 Q2";"Media 2020 Q3";"Media 2020 Q4";"Media 2021 Q1";"Media 2021 Q2";"Media 2021 Q3";"Media 2021 Q4"
2020-10-09;NA;"1,37";"1,29";"1,96";"2,36";"1,53";"1,24";NA;"-5,25";"-3,4";"-0,29";"8,8";"3,66";"2,36"
2020-10-13;NA;"1,39";"1,32";"1,9";"2,36";"1,49";"1,11";NA;"-5,25";"-3,44";"-0,24";"8,9";"3,58";"2,26"
2020-10-14;NA;"1,36";"1,33";"1,99";"2,41";"1,56";"1,26";NA;"-5,17";"-3,37";"-0,28";"8,77";"3,64";"2,38"
2020-10-15;NA;"1,35";"1,16";"1,97";"2,42";"1,55";"1,26";NA;"-5,1";"-3,28";"-0,21";"8,77";"3,57";"2,3"
2020-10-16;NA;"1,16";"1,06";"1,96";"2,47";"1,53";"1,26";NA;"-4,98";"-3,33";"-0,23";"8,73";"3,59";"2,3"
2020-10-19;NA;"1,24";"1,09";"1,98";"2,48";"1,55";"1,25";NA;"-4,95";"-3,3";"-0,21";"8,7";"3,58";"2,25"
2020-10-20;NA;"1,25";"1,08";"1,99";"2,46";"1,52";"1,21";NA;"-4,97";"-3,35";"-0,26";"8,71";"3,59";"2,25"
2020-10-21;NA;"1,25";"1,1";"1,97";"2,46";"1,5";"1,21";NA;"-4,93";"-3,31";"-0,23";"8,71";"3,56";"2,27"
2020-10-22;NA;"1,25";"1,1";"1,93";"2,42";"1,48";"1,19";NA;"-4,89";"-3,28";"-0,22";"8,73";"3,55";"2,27"
2020-10-23;NA;"1,21";"1,11";"1,89";"2,38";"1,41";"1,16";NA;"-4,7";"-3,17";"-0,26";"8,8";"3,43";"2,24"
2020-10-26;NA;"1,22";"1,11";"1,9";"2,36";"1,4";"1,15";NA;"-4,73";"-3,18";"-0,31";"8,8";"3,44";"2,24"
2020-10-27;NA;"1,22";"1,11";"1,9";"2,36";"1,4";"1,15";NA;"-4,73";"-3,18";"-0,31";"8,8";"3,44";"2,24"
2020-10-28;NA;"1,22";"1,11";"1,9";"2,36";"1,4";"1,15";NA;"-4,73";"-3,18";"-0,31";"8,8";"3,44";"2,24"
2020-10-29;NA;"1,21";"1,11";"1,98";"2,35";"1,39";"1,17";NA;"-4,74";"-3,2";"-0,39";"8,76";"3,43";"2,28"
2020-10-30;NA;"1,27";"1,16";"2";"2,37";"1,42";"1,18";NA;"-4,66";"-3,16";"-0,32";"8,79";"3,35";"2,28"
2020-11-03;NA;"1,26";"1,16";"2,02";"2,39";"1,43";"1,17";NA;"-4,62";"-3,14";"-0,33";"8,78";"3,35";"2,31"
2020-11-04;NA;"1,26";"1,16";"2,02";"2,39";"1,43";"1,17";NA;"-4,62";"-3,14";"-0,33";"8,78";"3,35";"2,31"
2020-11-05;NA;"1,27";"1,17";"2,05";"2,35";"1,43";"1,19";NA;"-4,65";"-3,15";"-0,35";"8,66";"3,39";"2,31"
2020-11-06;NA;"1,23";"1,19";"2,04";"2,37";"1,41";"1,2";NA;"-4,55";"-3,09";"-0,32";"8,75";"3,34";"2,28"
2020-11-09;NA;"1,12";"1,12";"2";"2,39";"1,39";"1,22";NA;"-4,39";"-2,99";"-0,24";"8,79";"3,2";"2,23"
2020-11-10;NA;"1,11";"1,11";"1,98";"2,41";"1,4";"1,21";NA;"-4,38";"-2,99";"-0,24";"8,85";"3,16";"2,24"
2020-11-11;NA;"1,14";"1,13";"2";"2,39";"1,45";"1,23";NA;"-4,34";"-2,96";"-0,22";"8,87";"3,14";"2,22"
2020-11-12;NA;"1,14";"1,13";"1,99";"2,37";"1,46";"1,23";NA;"-4,31";"-2,97";"-0,25";"8,87";"3,18";"2,22"
2020-11-13;NA;"1,1";"1,12";"1,9";"2,41";"1,51";"1,24";NA;"-4,19";"-2,88";"-0,17";"8,92";"3,13";"2,19"
